Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of ??mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?","If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?","If , what condition(s) do you believe you have?",Have you been diagnosed with a mental health condition by a medical professional?,"If so, what condition(s) were you diagnosed with?",Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?,Which of the following best describes your work position?,Do you work remotely?
0,100-500,0,0,0,0,1,0,1,4,1,,1,1,0,1,,,,,,,,1,"0, 0ne did","0, I only became aware later",0ne did,0ne did,"1, always","1, all of them",Some of them,Some of my previous employers,,,Some of them,Maybe,Prejudice,Maybe, Personal,,,2,"1, I experienced",Maybe,0,0,0,,,0,,1,4,4,74,Female,United States of America,California,United States of America,California,Support|Back-end Developer,Sometimes
0,500-1000,1,,,,1,1,1,1,0,0,1,1,1,0,,,,,,,,1,Some did,I was aware of some,Some did,Some did,"1, always",,0ne of them,Some of my previous employers,Some of my previous employers,Some did,0ne of them,Maybe,"Depends on the context, usually they have 0 need to k0w",0,"Again, they have 0 need to k0w.",0,0,5,0,,0,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",1,1,4,33,Other,United Kingdom,,United Kingdom,,Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Never
0,More than 1000,0,1,,,1,1,1,3,,0,1,,1,0,,,,,,,,1,"0, 0ne did","1, I was aware of all of them",Some did,Some did,,Some of them,Some of them,"1, at all of my previous employers","0, at 0ne of my previous employers",,0ne of them,0,"A place where I need to look and sound my best doesn't seem like the time to mention that I have something ""disordered"" about me.",,"Again, if it happens in context, . But, again. In the case of something that's supposed to me trying to look my best, talking about a flaw seems unnecessary.",1,,4,0,,1,1,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,4,22,Other,United States of America,Virginia,United States of America,Virginia,Other|Back-end Developer,Never
0,6-25,1,,,,0,0,1,2,0,0,1,1,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,0,I wouldn't want to be judged against someone healthy,0,See above,1,1,2,"1, I observed",Maybe,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,3,4,32,Other,United Kingdom,,United Kingdom,,Other|Supervisor/Team Lead|Support|Back-end Developer|Designer,Never
0,6-25,1,,0,,0,0,,2,0,0,0,,1,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,0ne of them,0,negative con0tation ,0,negative con0tation,,,2,"1, I observed",,,,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",0,,0,,,28,Female,United Kingdom,,United Kingdom,,Sales,Sometimes
0,1-5,1,,0,,0,0,0,5,1,1,0,0,,0,,,,,,,,1,"0, 0ne did",N/A (0t currently aware),0ne did,0ne did,0,"1, all of them","1, all of them","0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,Some of them,Maybe,,0,,1,1,1,Maybe/0t sure,N/A,1,1,0,,,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,,,26,Female,Canada,,Canada,,Front-end Developer,Sometimes
0,26-100,0,1,0,1,0,0,,4,1,,0,,,0,,,,,,,,1,Some did,I was aware of some,Some did,Some did,,"1, all of them",Some of them,"0, at 0ne of my previous employers","0, at 0ne of my previous employers",0ne did,0ne of them,,People take physical illnesses or injuries seriously. You don't have to look a certain way to be believed to have a physical health issue. People can see it so they believe it. They often can't blame you for it or think you're just making it up ,0,"Are you serious right 0w? I would never in a million years discuss my mental health issues. I don't need my new employers judging me off the bat and having a reason to 0t give me the job because someone equally qualified who doesn't over share and talk about their problems is given the job instead of me. I also am lucky that work is a place where I often function better than I do at home. Personally, I do better when I don't allow myself the option to give into depressive episodes at work. But that's just my experience. I've worked at companies where my supervisor knew I was dealing with depression and addiction recovery and it didn't help me at all. He didn't understand and I made it easier for myself to slack off. At my new job I haven't told anyone and Even though I think they'd be more supportive and understanding, I feel better that I keep my personal issues out of the work place. Though I understand completely that other people who have mental health issues are 0t as lucky to be as functional as I am. ",1,0,4,"1, I experienced",1,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)|Substance Use Disorder",1,1,4,28,Other,Germany,,Germany,,Back-end Developer|Front-end Developer,Sometimes
0,100-500,1,,,,0,0,,3,,,,,,0,,,,,,,,1,,N/A (0t currently aware),0ne did,0ne did,,Some of them,Some of them,Some of my previous employers,Some of my previous employers,,0ne of them,,Because it might mean I don't get the job. I have in the last if I knew I had time off coming up or it meant I needed special treatment ,0,Because I'm sure it would mean I didn't get the job ,1,1,5,/0t sure,0,1,1,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",,1,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,1,3,35,Female,Australia,,Australia,,DevOps/SysAdmin|Designer,Sometimes
0,More than 1000,1,,1,1,,,0,4,1,0,,1,0,0,,,,,,,,1,Some did,I was aware of some,0ne did,Some did,0,Some of them,Some of them,"0, at 0ne of my previous employers",Some of my previous employers,0ne did,"1, all of them",Maybe,I don't want to screw my chances at the job.,0,I *definitely* would be afraid I'd be d/q'd from the job for mentioning this.,1,,4,"1, I experienced",1,1,1,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder|Stress Response Syndromes",,1,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder|Post-traumatic Stress Disorder",1,3,4,47,Other,United States of America,Pennsylvania,United States of America,Pennsylvania,Other,Sometimes
0,1-5,1,,0,,0,0,,5,0,,,1,,0,,,,,,,,1,"1, they all did","1, I was aware of all of them",0ne did,0ne did,0,"1, all of them","1, all of them",Some of my previous employers,"0, at 0ne of my previous employers",0ne did,Some of them,0,Perceived poorly,0,Bias,1,1,4,Maybe/0t sure,1,1,0,0,,,0,,0,,,43,Female,United States of America,California,United States of America,California,Other,Sometimes
